target,source,manual,service
/departments/147/services/31/,/Agencies/forestry-and-fire-protection-california-department-of/Agency-Services/fire-information,0,1
/departments/147/services/31/,/service/?item=find-fire-information,1,1
/departments/147/services/31/,/service/?item=fire-information,0,1
/departments/148/,/Agencies/emergency-services-governor%27s-office-of,0,0
/departments/148/,/agency/?item=governor%27s-office-of-emergency-services,0,0
/departments/149/,/Agencies/bar-of-california-state,0,0
/departments/149/,/agency/?item=state-bar-of-california,0,0
/departments/150/,/Agencies/environmental-protection-agency,0,0
/departments/150/,/agency/?item=environmental-protection-agency,0,0
/departments/151/,/Agencies/military-department-california,0,0
/departments/151/,/agency/?item=california-military-department,0,0
/departments/152/,/Agencies/housing-finance-agency,0,0
/departments/152/,/agency/?item=housing-finance-agency,0,0
/departments/152/services/1233/,/Agencies/housing-finance-agency/Agency-Services/first-time-homebuyer-programs,0,1
/departments/152/services/1233/,/service/?item=first-time-homebuyer-programs,0,1
/departments/152/services/1262/,/Agencies/housing-finance-agency/Agency-Services/housing-counseling-program,0,1
/departments/152/services/1262/,/service/?item=housing-counseling-program,0,1
/departments/155/,/Agencies/lottery-california-state,0,0
/departments/155/,/agency/?item=california-lottery,1,0
/departments/155/,/agency/?item=california-state-lottery,0,0
/departments/155/services/1269/,/Agencies/lottery-california-state/Agency-Services/claim-a-prize,0,1
/departments/155/services/1269/,/service/?item=claim-a-prize,0,1
/departments/155/services/1271/,/Agencies/lottery-california-state/Agency-Services/who-benefits,0,1
/departments/155/services/1271/,/service/?item=who-benefits,0,1
/departments/155/services/1272/,/Agencies/lottery-california-state/Agency-Services/ca-lottery-mobile-app,0,1
/departments/155/services/1272/,/service/?item=ca-lottery-mobile-app,0,1
/departments/155/services/1274/,/Agencies/lottery-california-state/Agency-Services/2nd-chance,0,1
/departments/155/services/1274/,/service/?item=2nd-chance,0,1
/departments/155/services/1275/,/Agencies/lottery-california-state/Agency-Services/where-to-play,0,1
/departments/155/services/1275/,/service/?item=where-to-play,0,1
/departments/155/services/1276/,/Agencies/lottery-california-state/Agency-Services/district-offices,0,1
/departments/155/services/1276/,/service/?item=district-offices,0,1
/departments/155/services/1277/,/Agencies/lottery-california-state/Agency-Services/become-a-retailer,0,1
/departments/155/services/1277/,/service/?item=become-a-retailer,0,1
/departments/155/services/42/,/Agencies/lottery-california-state/Agency-Services/view-draw-results,0,1
/departments/155/services/42/,/service/?item=look-up-winning-lottery-numbers,1,1
/departments/155/services/42/,/service/?item=view-draw-results,0,1
/departments/156/,/Agencies/public-employees-retirement-system-california,0,0
/departments/156/,/agency/?item=california-public-employees-retirement-system,0,0
/departments/157/,/Agencies/prison-industry-authority,0,0
/departments/157/,/agency/?item=prison-industry-authority,0,0
/departments/158/,/Agencies/resources-recycling-and-recovery-department-of,0,0
/departments/158/,/agency/?item=department-of-resources-recycling-and-recovery,0,0
/departments/158/services/54/,/Agencies/resources-recycling-and-recovery-department-of/Agency-Services/find-recycling-location,0,1
/departments/158/services/54/,/service/?item=find-recycling-location,0,1
/departments/159/,/Agencies/independent-living-council-california-state,0,0
/departments/159/,/agency/?item=california-state-independent-living-council,0,0
/departments/16/,/Agencies/accountancy-california-board-of,0,0
/departments/16/,/agency/?item=california-board-of-accountancy,0,0
/departments/160/,/Agencies/transportation-agency-california-state,0,0
/departments/160/,/agency/?item=california-state-transportation-agency,0,0
/departments/161/,/Agencies/state-teachers-retirement-system-california,0,0
/departments/161/,/agency/?item=california-state-teachers-retirement-system,0,0
/departments/162/,/Agencies/victim-compensation-board-california,0,0
/departments/162/,/agency/?item=california-victim-compensation-board,0,0
/departments/162/services/1169/,/Agencies/victim-compensation-board-california/Agency-Services/apply-for-compensation-for-crime-related-expenses,0,1
/departments/162/services/1169/,/service/?item=apply-for-compensation-for-crime-related-expenses,0,1
/departments/163/,/Agencies/veterans-affairs-department-of,0,0
/departments/163/,/agency/?item=department-of-veterans-affairs,0,0
/departments/163/services/1273/,/Agencies/veterans-affairs-department-of/Agency-Services/apply-to-a-veterans-home,0,1
/departments/163/services/1273/,/service/?item=apply-to-a-veterans-home,0,1
/departments/163/services/64/,/Agencies/veterans-affairs-department-of/Agency-Services/get-a-calvet-home-loan,0,1
/departments/163/services/64/,/service/?item=get-a-calvet-home-loan,0,1
/departments/164/,/Agencies/volunteers-california,0,0
/departments/164/,/agency/?item=california-volunteers,0,0
/departments/165/,/Agencies/biodiversity-council-california,0,0
/departments/165/,/agency/?item=california-biodiversity-council,0,0
/departments/166/,/Agencies/conservation-corps-california,0,0
/departments/166/,/agency/?item=california-conservation-corps,0,0
/departments/167/,/Agencies/community-colleges-california,0,0
/departments/167/,/agency/?item=california-community-colleges,0,0
/departments/167/services/1119/,/Agencies/community-colleges-california/Agency-Services/find-ccc-undocumented-student-resources,0,1
/departments/167/services/1119/,/service/?item=find-ccc-undocumented-student-resources,0,1
/departments/168/,/Agencies/disability-access-california-commission-on,0,0
/departments/168/,/agency/?item=california-commission-on-disability-access,0,0
/departments/169/,/Agencies/aging-california-commission-on,0,0
/departments/169/,/agency/?item=california-commission-on-aging,0,0
/departments/17/,/Agencies/acupuncture-board-california,0,0
/departments/17/,/agency/?item=california-acupuncture-board,0,0
/departments/170/,/Agencies/status-of-women-and-girls-commission-on,0,0
/departments/170/,/agency/?item=commission-on-status-of-women-and-girls,0,0
/departments/171/,/Agencies/corrections-and-rehabilitation-california-department-of,0,0
/departments/171/,/agency/?item=california-department-of-corrections-and-rehabilitation,0,0
/departments/171/services/1188/,/agencies/corrections-rehabilitation-department-of/agency-services/locate-an-inmate,1,1
/departments/171/services/1188/,/Agencies/corrections-and-rehabilitation-california-department-of/Agency-Services/california-incarcerated-records-and-information-search,0,1
/departments/171/services/1188/,/service/?item=california-incarcerated-records-and-information-search,0,1
/departments/171/services/71/,/Agencies/corrections-and-rehabilitation-california-department-of/Agency-Services/facility-locator,0,1
/departments/171/services/71/,/service/?item=facility-locator,0,1
/departments/171/services/72/,/Agencies/corrections-and-rehabilitation-california-department-of/Agency-Services/visitation-scheduling-application,0,1
/departments/171/services/72/,/service/?item=visitation-scheduling-application,0,1
/departments/172/,/Agencies/education-california-department-of,0,0
/departments/172/,/agency/?item=california-department-of-education,0,0
